type,algorithms,missing pulses,deltak
slide PRI,BNP-HMM,0,-1.8
D&S PRI,BNP-HMM,0,0
slide PRI,agile BNP-HMM,0,0
D&S PRI,agile BNP-HMM,0,0.9
slide PRI,BNP-HMM,0.1,-2.1
D&S PRI,BNP-HMM,0.1,0.1
slide PRI,agile BNP-HMM,0.1,0
D&S PRI,agile BNP-HMM,0.1,2.8
slide PRI,BNP-HMM,0.2,-2.6
D&S PRI,BNP-HMM,0.2,0.1
slide PRI,agile BNP-HMM,0.2,0.2
D&S PRI,agile BNP-HMM,0.2,3.2
slide PRI,BNP-HMM,0.3,-3.7
D&S PRI,BNP-HMM,0.3,0.1
slide PRI,agile BNP-HMM,0.3,0.5
D&S PRI,agile BNP-HMM,0.3,3.9
slide PRI,BNP-HMM,0.4,-3.7
D&S PRI,BNP-HMM,0.4,0.1
slide PRI,agile BNP-HMM,0.4,0.5
D&S PRI,agile BNP-HMM,0.4,4
